country,cluster
Afghanistan,0
Albania,0
Argentina,1
Australia,1
Austria,1
Belarus,0
Belgium,1
Bolivia,1
Brazil,1
Bulgaria,0
Cambodia,0
Canada,1
Chile,1
Colombia,1
Costa Rica,1
Cuba,1
Czechoslovakia,0
Denmark,1
Dominican Republic,1
Ecuador,1
Egypt,0
El Salvador,1
Ethiopia,0
Finland,0
France,1
Ghana,0
Greece,1
Guatemala,1
Guinea,0
Haiti,1
Honduras,1
Hungary,0
Iceland,1
India,0
Indonesia,0
Iran,1
Iraq,0
Ireland,1
Israel,1
Italy,1
Japan,1
Jordan,0
Laos,1
Lebanon,0
Liberia,1
Libya,0
Luxembourg,1
Malaysia,1
Mexico,1
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,1
New Zealand,1
Nicaragua,1
Norway,1
Pakistan,1
Panama,1
Paraguay,1
Peru,1
Philippines,1
Poland,0
Portugal,1
Romania,0
Russia,0
Saudi Arabia,0
South Africa,1
Spain,1
Sri Lanka,0
Sudan,0
Sweden,1
Syria,0
Taiwan,1
Thailand,1
Tunisia,0
Turkey,1
Ukraine,0
United Kingdom,1
United States,1
Uruguay,1
Venezuela,1
Yemen Arab Republic,0
Yugoslavia,0
