,United States,Russia,China,France,United Kingdom,Germany,Iran,Egypt,Saudi Arabia,Vietnam,Poland,Hungary,Iraq,South Africa,Italy
United States,0,870,664,1432,1592,629,1171,1141,1110,437,1087,993,937,813,1485
Russia,870,0,3014,1819,1731,1211,3536,3779,3637,2874,3722,3451,3299,1591,2111
China,664,3014,0,1706,1599,1239,3455,3637,3567,3160,2705,2678,2973,1772,2051
France,1432,1819,1706,0,2461,1363,1969,2039,1977,1441,2110,2009,1660,1441,2430
United Kingdom,1592,1731,1599,2461,0,1368,1980,2009,1962,1351,2041,1956,1608,1486,2494
Germany,629,1211,1239,1363,1368,0,1110,1247,1291,1187,1580,1567,875,1346,1595
Iran,1171,3536,3455,1969,1980,1110,0,4571,4427,3302,3249,3064,3876,1993,2411
Egypt,1141,3779,3637,2039,2009,1247,4571,0,4735,3417,3525,3330,4086,2018,2445
Saudi Arabia,1110,3637,3567,1977,1962,1291,4427,4735,0,3418,3436,3251,3962,1987,2419
Vietnam,437,2874,3160,1441,1351,1187,3302,3417,3418,0,2587,2567,2839,1766,1787
Poland,1087,3722,2705,2110,2041,1580,3249,3525,3436,2587,0,3798,3123,1437,2484
Hungary,993,3451,2678,2009,1956,1567,3064,3330,3251,2567,3798,0,2973,1402,2437
Iraq,937,3299,2973,1660,1608,875,3876,4086,3962,2839,3123,2973,0,1451,1960
South Africa,813,1591,1772,1441,1486,1346,1993,2018,1987,1766,1437,1402,1451,0,1624
Italy,1485,2111,2051,2430,2494,1595,2411,2445,2419,1787,2484,2437,1960,1624,0
