Country,Ally_1,Votes_1,Ally_2,Votes_2,Ally_3,Votes_3,Ally_4,Votes_4,Ally_5,Votes_5,Ally_6,Votes_6,Ally_7,Votes_7,Ally_8,Votes_8,Ally_9,Votes_9,Ally_10,Votes_10
United States,Canada,1690,New Zealand,1668,Netherlands,1653,Denmark,1645,Norway,1644,Australia,1631,Luxembourg,1618,Iceland,1605,Belgium,1601,Greece,1601
Russia,Belarus,4130,Ukraine,3863,Egypt,3779,Indonesia,3768,Ethiopia,3733,Poland,3722,Mexico,3704,Cuba,3692,Philippines,3681,Sri Lanka,3661
China,Malaysia,3744,Indonesia,3709,Tunisia,3693,Sri Lanka,3688,Senegal,3685,Philippines,3678,Guyana,3673,Bahrain,3673,Algeria,3663,Qatar,3658
France,Belgium,2584,Denmark,2573,Luxembourg,2568,Norway,2567,Netherlands,2565,New Zealand,2557,Sweden,2549,Greece,2531,Iceland,2500,Chile,2481
United Kingdom,Netherlands,2669,Denmark,2660,New Zealand,2649,Norway,2633,Luxembourg,2629,Belgium,2627,Sweden,2593,Iceland,2568,Greece,2558,Turkey,2504
Germany,Finland,1605,Austria,1603,Denmark,1601,Portugal,1601,Luxembourg,1599,Iceland,1599,Malta,1599,Netherlands,1595,Sweden,1595,Italy,1595
Iran,Philippines,4601,Egypt,4571,Mexico,4544,Indonesia,4533,Venezuela,4530,Thailand,4512,Ecuador,4463,Pakistan,4441,Saudi Arabia,4427,Tunisia,4423
Egypt,Indonesia,4789,Saudi Arabia,4735,Philippines,4674,Tunisia,4660,Mexico,4611,Thailand,4606,Sri Lanka,4591,Jordan,4577,Malaysia,4576,Sudan,4574
Saudi Arabia,Egypt,4735,Indonesia,4621,Philippines,4551,Tunisia,4535,Mexico,4497,Jordan,4492,Thailand,4487,Malaysia,4464,Morocco,4438,Sri Lanka,4433
Vietnam,Algeria,3522,Indonesia,3489,Guyana,3489,Tunisia,3485,United Arab Emirates,3481,Qatar,3480,Bahrain,3475,Sri Lanka,3474,Kuwait,3469,Malaysia,3468
Poland,Ukraine,4054,Belarus,3850,Bulgaria,3812,Hungary,3798,Romania,3783,Russia,3722,Mexico,3666,Indonesia,3572,Yugoslavia,3567,Ethiopia,3564
Hungary,Poland,3798,Bulgaria,3783,Ukraine,3770,Romania,3729,Belarus,3569,Cyprus,3512,Mongolia,3488,Mexico,3475,Russia,3451,Indonesia,3430
Iraq,Egypt,4086,Indonesia,3983,Saudi Arabia,3962,Afghanistan,3953,Philippines,3925,Mexico,3920,Ethiopia,3917,Tunisia,3893,Libya,3881,Iran,3876
South Africa,Brazil,2290,Philippines,2285,Thailand,2262,Chile,2261,Uruguay,2243,Ecuador,2239,Venezuela,2236,Mexico,2212,Colombia,2212,Peru,2212
Italy,Ireland,3029,Austria,3017,New Zealand,2993,Norway,2989,Denmark,2989,Netherlands,2984,Sweden,2976,Luxembourg,2953,Greece,2942,Iceland,2937
